1, 118641
2, 146003
2, 235908
2, 284065
3, 288544
3, 296821
4, 235447
4, 254340
6, 3573
6, 103477
6, 188867
7, 193167
7, 220670
8, 160819
8, 234986
9, 59124
9, 108254
9, 199538
10, 73445
10, 294676
11, 186135
12, 88892
12, 273509
13, 207646
13, 248971
16, 216405
17, 64264
17, 76446
17, 161793
18, 35798
19, 110561
20, 13570
21, 63035
21, 69172
21, 83828
21, 134063
21, 213181
21, 290378
23, 131884
23, 165198
25, 170838
26, 47064
26, 106407
26, 152304
26, 275614
27, 167479
27, 254743
28, 134502
28, 155193
31, 65267
31, 172646
31, 235881
32, 79088
33, 106210
33, 249603
33, 277977
35, 57682
36, 49688
36, 70681
37, 197512
38, 79044
39, 41001
39, 88374
39, 159559
40, 69200
40, 96202
40, 171226
41, 79111
42, 97806
44, 121123
45, 96650
45, 220261
47, 9601
47, 39645
49, 2132
50, 124042
50, 279150
51, 53206
51, 96837
51, 265045
52, 9658
53, 115306
53, 122318
54, 209040
55, 180080
58, 61867
58, 186798
59, 23515
59, 142588
59, 285552
59, 285865
60, 139065
60, 273798
62, 24308
62, 164075
63, 130393
63, 277541
64, 166609
64, 206788
64, 230035
65, 199034
67, 80822
68, 17075
69, 43492
70, 135242
72, 136261
73, 32900
73, 39335
73, 149252
75, 226318
77, 257815
78, 107313
78, 131500
78, 239229
80, 104681
80, 194916
81, 167670
82, 165889
84, 145043
85, 94104
86, 16658
87, 109505
88, 52211
88, 289264
90, 82943
90, 295280
92, 95059
93, 30973
93, 49833
93, 166949
93, 262624
94, 71153
94, 229753
94, 266202
96, 16571
97, 174528
97, 277232
98, 114452
98, 264931
99, 79828
99, 247628
100, 38464
100, 145807
100, 163135
101, 118748
102, 7270
102, 58985
102, 67952
102, 199079
103, 48391
103, 159184
104, 46924
104, 93011
106, 79828
106, 110020
108, 134798
108, 257244
109, 13216
110, 46298
111, 258895
115, 260438
116, 47771
116, 149380
117, 74165
118, 44972
118, 63287
120, 226020
120, 230686
121, 15524
121, 159196
121, 238367
121, 294477
125, 120745
125, 194344
126, 106418
126, 134063
126, 142205
127, 166546
130, 132190
130, 266860
131, 144557
